COMPANHIA,ANO,MES,ORIGEM,DESTINO,TARIFA,TEMP_MEDIA
AZUL,2023,1,Palmas,São Paulo,551.47,25.55
AZUL,2023,1,Palmas,Teresina,867.16,25.52
AZUL,2023,1,Palmas,Vitória,826.51,25.34
AZUL,2023,1,Porto Alegre,Belo Horizonte,620.08,25.4
AZUL,2023,1,Porto Alegre,Belém,1251.14,25.36
AZUL,2023,1,Porto Alegre,Boa Vista,1468.91,25.51
AZUL,2023,1,Porto Alegre,Brasília,965.22,25.45
AZUL,2023,1,Porto Alegre,Campo Grande,612.52,25.3
AZUL,2023,1,Porto Alegre,Cuiabá,832.7,25.47
AZUL,2023,1,Porto Alegre,Curitiba,735.02,25.47
AZUL,2023,1,Porto Alegre,Florianópolis,790.94,25.52
AZUL,2023,1,Porto Alegre,Fortaleza,883.84,25.11
AZUL,2023,1,Porto Alegre,Goiânia,636.54,25.27
AZUL,2023,1,Porto Alegre,João Pessoa,947.63,25.37
AZUL,2023,1,Porto Alegre,Macapá,660.19,25.54
AZUL,2023,1,Porto Alegre,Maceió,971.36,25.46
AZUL,2023,1,Porto Alegre,Manaus,838.66,25.3
AZUL,2023,1,Porto Alegre,Natal,899.49,25.79
AZUL,2023,1,Porto Alegre,Porto Velho,1251.94,25.55
AZUL,2023,1,Porto Alegre,Recife,1096.23,25.24
AZUL,2023,1,Porto Alegre,Rio de Janeiro,864.95,25.61
AZUL,2023,1,Porto Alegre,Salvador,921.36,25.53
AZUL,2023,1,Porto Alegre,São Luís,922.08,25.52
AZUL,2023,1,Porto Alegre,São Paulo,637.63,25.55
AZUL,2023,1,Porto Alegre,Teresina,1061.53,25.52
AZUL,2023,1,Porto Alegre,Vitória,640.17,25.34
AZUL,2023,1,Porto Velho,Belo Horizonte,1410.06,25.4
AZUL,2023,1,Porto Velho,Belém,878.4,25.36
AZUL,2023,1,Porto Velho,Boa Vista,1077.43,25.51
AZUL,2023,1,Porto Velho,Brasília,921.68,25.45
AZUL,2023,1,Porto Velho,Campo Grande,663.44,25.3
AZUL,2023,1,Porto Velho,Cuiabá,1317.2,25.47
AZUL,2023,1,Porto Velho,Curitiba,950.31,25.47
AZUL,2023,1,Porto Velho,Florianópolis,1132.36,25.52
AZUL,2023,1,Porto Velho,Fortaleza,1169.01,25.11
AZUL,2023,1,Porto Velho,Goiânia,890.96,25.27
AZUL,2023,1,Porto Velho,João Pessoa,666.32,25.37
AZUL,2023,1,Porto Velho,Macapá,1374.93,25.54
AZUL,2023,1,Porto Velho,Maceió,1168.55,25.46
AZUL,2023,1,Porto Velho,Manaus,825.36,25.3
AZUL,2023,1,Porto Velho,Natal,1152.16,25.79
AZUL,2023,1,Porto Velho,Porto Alegre,1202.61,25.44
AZUL,2023,1,Porto Velho,Recife,750.3,25.24
AZUL,2023,1,Porto Velho,Rio de Janeiro,850.6,25.61
AZUL,2023,1,Porto Velho,Salvador,740.44,25.53
AZUL,2023,1,Porto Velho,São Luís,859.34,25.52
AZUL,2023,1,Porto Velho,São Paulo,809.81,25.55
AZUL,2023,1,Porto Velho,Teresina,1399.93,25.52
AZUL,2023,1,Porto Velho,Vitória,927.77,25.34
AZUL,2023,1,Recife,Aracaju,324.9,25.41
AZUL,2023,1,Recife,Belo Horizonte,1053.21,25.4
AZUL,2023,1,Recife,Belém,1233.36,25.36
AZUL,2023,1,Recife,Boa Vista,795.6,25.51
AZUL,2023,1,Recife,Brasília,844.72,25.45
AZUL,2023,1,Recife,Campo Grande,842.58,25.3
AZUL,2023,1,Recife,Cuiabá,1046.76,25.47
AZUL,2023,1,Recife,Curitiba,1025.67,25.47
AZUL,2023,1,Recife,Florianópolis,889.94,25.52
AZUL,2023,1,Recife,Fortaleza,673.71,25.11
AZUL,2023,1,Recife,Goiânia,1090.59,25.27
AZUL,2023,1,Recife,João Pessoa,438.44,25.37
AZUL,2023,1,Recife,Macapá,968.9,25.54
AZUL,2023,1,Recife,Maceió,689.78,25.46
AZUL,2023,1,Recife,Manaus,1206.7,25.3
AZUL,2023,1,Recife,Natal,551.45,25.79
AZUL,2023,1,Recife,Porto Alegre,1155.01,25.44
AZUL,2023,1,Recife,Porto Velho,839.06,25.55
AZUL,2023,1,Recife,Rio de Janeiro,861.13,25.61
AZUL,2023,1,Recife,Salvador,828.1,25.53
AZUL,2023,1,Recife,São Luís,1043.31,25.52
AZUL,2023,1,Recife,São Paulo,947.09,25.55
AZUL,2023,1,Recife,Teresina,916.82,25.52
AZUL,2023,1,Recife,Vitória,1270.22,25.34
AZUL,2023,1,Rio de Janeiro,Belo Horizonte,651.79,25.4
AZUL,2023,1,Rio de Janeiro,Belém,825.67,25.36
AZUL,2023,1,Rio de Janeiro,Boa Vista,1074.48,25.51
AZUL,2023,1,Rio de Janeiro,Brasília,637.42,25.45
AZUL,2023,1,Rio de Janeiro,Campo Grande,479.0,25.3
AZUL,2023,1,Rio de Janeiro,Cuiabá,852.93,25.47
AZUL,2023,1,Rio de Janeiro,Curitiba,560.43,25.47
AZUL,2023,1,Rio de Janeiro,Florianópolis,609.71,25.52
AZUL,2023,1,Rio de Janeiro,Fortaleza,1037.5,25.11
AZUL,2023,1,Rio de Janeiro,Goiânia,567.97,25.27
AZUL,2023,1,Rio de Janeiro,João Pessoa,854.95,25.37
AZUL,2023,1,Rio de Janeiro,Macapá,610.83,25.54
AZUL,2023,1,Rio de Janeiro,Maceió,979.27,25.46
AZUL,2023,1,Rio de Janeiro,Manaus,955.19,25.3
AZUL,2023,1,Rio de Janeiro,Natal,1094.88,25.79
